,name,type,promoter.name,info,pleaseNote,priceMin,priceMax,subGenre,city,state,venueName,attractionName,artists,num.artists,latitude,longitude,venueUpcoming,meanPrice,date
0,"Lit In Ac 2020 With Lil Kim, Fat Joe, Ja Rule, State Property",event,PROMOTED BY VENUE,,,52.0,92.0,French Rap,Atlantic City,New Jersey,Boardwalk Hall,Lil Kim,"['Lil Kim', 'Fat Joe', 'Ja Rule', 'State Property', 'Dru Hill', '112', 'MR Cheeks', 'The Lox', 'Mase', 'Trina']",10,39.354905,-74.438391,15,72.0,2020-04-04
2,"Yo Gotti, Da Baby, Kevin Gates, Kash Doll & more",event,PROMOTED BY VENUE,,"Originally scheduled to take place Sunday, March 15, 2020 at 7:00PM, this event has been rescheduled for Wednesday, May 20, 2020 at 7:00PM. Tickets for the original event date will be honored.",54.0,154.0,French Rap,Detroit,Michigan,Little Caesars Arena,Yo Gotti,"['Yo Gotti', 'Kash Doll', 'DaBaby', 'Kevin Gates', 'Moneybagg Yo', 'Blac Youngsta', '42 Dugg']",7,42.341089,-83.055434,26,104.0,2020-05-20
3,Spring MegaFest,event,PROMOTED BY VENUE,,,53.0,179.0,French Rap,Indianapolis,Indiana,Bankers Life Fieldhouse,Lil Baby,"['Lil Baby', '2 Chainz', 'Rod Wave', 'Jacquees', 'Lil Durk']",5,39.764064,-86.155507,8,116.0,2020-04-10
4,No Limit Reunion Tour,event,PROMOTED BY VENUE,,Artists subject to change. All sales are final. No Refunds.,55.0,195.0,French Rap,Atlanta,Georgia,State Farm Arena,Master P,"['Master P', 'Mia X', 'Silkk the Shocker', 'Mystikal', 'Fiend']",5,33.757796,-84.394569,21,125.0,2020-05-01
5,Feed The Streetz Tour 2020,event,PROMOTED BY VENUE,,Lineup subject to change.,75.0,175.0,French Rap,Brooklyn,New York,Barclays Center,Rick Ross,"['Rick Ross', 'Jeezy', '2 Chainz', 'Yo Gotti', 'Lil Kim', 'Fabolous', 'Jadakiss', 'DJ Drama', 'Funk Flex']",9,40.68350417,-73.97661659,21,125.0,2020-05-15
6,No Limit Reunion Tour,event,PROMOTED BY VENUE,,"Acts subject to change. Please adhere to published ticket limits. If you exceed the ticket limit, you may have any or all of your orders and tickets canceled without notice. Delivery will be delayed to check for duplicate orders. eTickets are available beginning 48 hours prior to the event.",49.0,139.0,French Rap,Southaven,Mississippi,Landers Center ,Master P,"['Master P', 'Silkk the Shocker', 'Mia X', 'Mystikal', 'Fiend', 'Jeezy']",6,34.9305909,-89.9975673,11,94.0,2020-04-25
7,The Weeknd with Special Guests Sabrina Claudio And Don Toliver,event,LIVE NATION MUSIC,,"To allow for more Card Members to enjoy the show, American Express has set a two-order limit for this offer. This limit applies across all Cards associated with all of your American Express accounts. Prepaid Cards are not eligible.",25.1,444.25,French Rap,Nashville,Tennessee,Bridgestone Arena,The Weeknd,"['The Weeknd', 'Sabrina Claudio', 'Don Toliver']",3,36.159949,-86.77857,44,234.675,2020-08-26
8,Zion & Lennox: Iconic Tour 2020,event,PROMOTED BY VENUE,,"The night of the event, we would like to extend a special room offer to you. This special offer is based upon availability and may not be available for all performance nights. To take advantage of this offer, please visit foxwoods.com or call 866-646-0050. If calling, please reference special promotion code ""Ticket"".",49.0,109.0,Reggaeton,Mashantucket,Connecticut,The Grand Theater at Foxwoods Resort Casino,Zion & Lennox,['Zion & Lennox'],1,41.4783608,-71.9630872,35,79.0,2020-05-24
9,Post Malone - Runaway Tour,event,LIVE NATION MUSIC,DOORS: 7PM SHOW: 8PM LINE UP: POST MALONE TYLA YAWEH ALL SUPPORTING ACTS ARE SUBJECT TO CHANGE WITHOUT NOTICE,This event has been canceled. Refunds at Point of Purchase only. Internet & Phone orders will automatically be canceled & refunded.,83.5,523.5,French Rap,Ontario,California,Toyota Arena,Post Malone,"['Post Malone', 'Tyla Yaweh']",2,34.075329,-117.566364,25,303.5,2020-03-17
10,Feed The Streetz Tour 2020,event,PROMOTED BY VENUE,,,50.0,195.0,French Rap,Atlanta,Georgia,State Farm Arena,2 Chainz,"['2 Chainz', 'Rick Ross', 'Jeezy', 'T.I.', 'Yo Gotti', 'Lil Kim', 'Boosie BadAzz', 'DJ Drama']",8,33.757796,-84.394569,21,122.5,2020-04-24
